,x_col,y_col
1279,-58.17955010000001,-23.365935999999998
1280,-58.159317,-23.343814000000002
1281,-58.161205200000005,-23.338068
1282,-58.1615905,-23.338024
1283,-58.1623764,-23.337936
1284,-58.1637878,-23.350687
1285,-58.177787699999996,-23.358842000000003
1286,-58.1778221,-23.358839
1287,-58.1633949,-23.3507
1288,-58.1628189,-23.338214
1289,-58.1780662,-23.356451
1290,-58.17202370000001,-23.364154
1291,-58.173263500000004,-23.363096
1292,-58.1749534,-23.365505
1293,-58.1823272,-23.361089
1294,-58.183898899999996,-23.367158
1295,-58.19269179999999,-23.364027
1296,-58.1926841,-23.36407
1297,-58.1925544,-23.364475
1298,-58.1925621,-23.364294
1299,-58.1871948,-23.361951
1300,-58.1830978,-23.359624
1301,-58.1871986,-23.357379
1302,-58.1931076,-23.363912
1303,-58.1911125,-23.361304999999998
1304,-58.1920814,-23.363108999999998
1305,-58.192787100000004,-23.363086
1306,-58.1924858,-23.362907
1307,-58.1934471,-23.365043
1308,-58.1956176,-23.364898
1309,-58.194274899999996,-23.364852
1310,-58.1910858,-23.363761
1311,-58.187232900000005,-23.357779999999998
1312,-58.18730920000001,-23.357772
1313,-58.18683620000001,-23.357758999999998
1314,-58.186882,-23.357753
1315,-58.186901,-23.357758999999998
1316,-58.173538199999996,-23.363523
1317,-58.1735267,-23.364824
1318,-58.1736564,-23.364686
1319,-58.1720733,-23.363872
1320,-58.1707839,-23.364839
1321,-58.1708106,-23.364841000000002
1322,-58.173542000000005,-23.364673
1323,-58.1735725,-23.364788
1324,-58.173633499999994,-23.364721
1325,-58.17488470000001,-23.36466
1326,-58.173618299999994,-23.364675
1327,-58.17488470000001,-23.367092
1328,-58.1741828,-23.365417
1329,-58.173591599999995,-23.364717000000002
1330,-58.1743392,-23.365503
1331,-58.17366020000001,-23.365926
1332,-58.174896200000006,-23.367015
1333,-58.1735343,-23.364686
1334,-58.173664,-23.364652
1335,-58.173580099999995,-23.364755
1336,-58.173679299999996,-23.365756
1337,-58.1737174,-23.365985000000002
1338,-58.173396999999994,-23.368459
1339,-58.173374100000004,-23.368489999999998
1340,-58.2069625,-23.370521
1341,-58.206039399999995,-23.370376
1342,-58.2061233,-23.370119
1343,-58.20597070000001,-23.369954999999997
1344,-58.1870269,-23.366403
1345,-58.1897506,-23.366220000000002
1346,-58.185989299999996,-23.366971
1347,-58.18764870000001,-23.3668
1348,-58.187480900000004,-23.366905
1349,-58.1907501,-23.363912
1350,-58.1922836,-23.362413
1351,-58.1911392,-23.362955
1352,-58.191204000000006,-23.362935999999998
1353,-58.190540299999995,-23.367015
1354,-58.1906051,-23.366923999999997
1355,-58.190776799999995,-23.367418
1356,-58.19070429999999,-23.368022
1357,-58.190837800000004,-23.367767
1358,-58.190811100000005,-23.367662
1359,-58.1908187,-23.367721
1360,-58.190833999999995,-23.367681
1361,-58.1908149,-23.367701999999998
1362,-58.190822600000004,-23.367637
1363,-58.190837800000004,-23.367706
1364,-58.19086070000001,-23.367652
1365,-58.1908264,-23.367735999999997
