,x_col,y_col
1086,-58.12664029999999,-23.348278
1087,-58.125679000000005,-23.349407
1088,-58.125679000000005,-23.348764000000003
1089,-58.126945400000004,-23.3477
1090,-58.127079,-23.347908
1091,-58.1270637,-23.347864
1092,-58.1238098,-23.349519
1093,-58.124790100000006,-23.347192
1094,-58.12473670000001,-23.347162
1095,-58.1246871,-23.347173
1096,-58.124744400000004,-23.347209
1097,-58.124717700000005,-23.34712
1098,-58.123138399999995,-23.349285000000002
1099,-58.1247024,-23.347209
1100,-58.12482070000001,-23.347162
1101,-58.124732900000005,-23.347145
1102,-58.124782499999995,-23.34711
1103,-58.12473670000001,-23.347166
1104,-58.127677899999995,-23.348501000000002
1105,-58.1245918,-23.347122
1106,-58.1245956,-23.347061
1107,-58.12471,-23.347162
1108,-58.12473670000001,-23.347131
1109,-58.124729099999996,-23.347133
1110,-58.124748200000006,-23.347160000000002
1111,-58.12463760000001,-23.347078
1112,-58.1246681,-23.347215
1113,-58.1247215,-23.347164000000003
1114,-58.1151733,-23.35181
1115,-58.0961608,-23.359142000000002
1116,-58.0967483,-23.357889
1117,-58.1069755,-23.345495
1118,-58.124748200000006,-23.347220999999998
1119,-58.1247253,-23.347171
1120,-58.12471,-23.347148
1121,-58.124759600000004,-23.347167000000002
1122,-58.1247024,-23.347166
1123,-58.1147804,-23.369823
1124,-58.0936431,-23.381702
1125,-58.089527100000005,-23.368017000000002
1126,-58.08977120000001,-23.367614
1127,-58.0895042,-23.367798999999998
1128,-58.0895767,-23.367835
1129,-58.0895843,-23.367692
1130,-58.0895538,-23.367769
1131,-58.0904846,-23.3659
1132,-58.110080700000005,-23.351782999999998
1133,-58.124691000000006,-23.347175
1134,-58.124744400000004,-23.347151999999998
1135,-58.124706200000006,-23.347129000000002
1136,-58.1243705,-23.347108
1137,-58.1245384,-23.347583
1138,-58.124633700000004,-23.347402
1139,-58.12457270000001,-23.347486
1140,-58.1245803,-23.347476
1141,-58.1246414,-23.347478
1142,-58.12463760000001,-23.347535999999998
1143,-58.12541579999999,-23.344831
1144,-58.124607,-23.347494
1145,-58.124916000000006,-23.344364000000002
1146,-58.124916000000006,-23.344396
1147,-58.1248855,-23.344352
1148,-58.124565100000005,-23.343967000000003
1149,-58.124549800000004,-23.343942000000002
1150,-58.124469700000006,-23.344013
1151,-58.116527500000004,-23.35238
1152,-58.1229591,-23.350970999999998
1153,-58.123706799999994,-23.35029
1154,-58.1246414,-23.343961
1155,-58.1246147,-23.34395
1156,-58.124649,-23.343919
1157,-58.1209907,-23.350553
1158,-58.12100600000001,-23.350502
1159,-58.1206054,-23.350604999999998
1160,-58.1191635,-23.348691
1161,-58.1191902,-23.348712
1162,-58.1031608,-23.356057999999997
1163,-58.103156999999996,-23.356012
1164,-58.1151199,-23.348236
1165,-58.1191444,-23.348741
1166,-58.1191596,-23.348731
1167,-58.11940379999999,-23.348644
1168,-58.119113899999995,-23.348697
1169,-58.1191635,-23.348695000000003
1170,-58.119152,-23.348760000000002
1171,-58.1191749,-23.348812
1172,-58.119148200000005,-23.348726
1173,-58.1191978,-23.348716
1174,-58.119155799999994,-23.348716
1175,-58.119152,-23.348693
1176,-58.119152,-23.348748999999998
1177,-58.119152,-23.348726
1178,-58.1191749,-23.348714
1179,-58.1191596,-23.348724
1180,-58.1106071,-23.351945
1181,-58.11454770000001,-23.347845
1182,-58.119152,-23.348737
1183,-58.1191749,-23.34873
1184,-58.119182499999994,-23.348743
1185,-58.1136016,-23.348941
1186,-58.092144,-23.351089
1187,-58.083129799999995,-23.349838000000002
1188,-58.083080200000005,-23.349822
1189,-58.0831718,-23.349884
1190,-58.0831871,-23.349935000000002
1191,-58.092231700000006,-23.343345000000003
1192,-58.1033248,-23.345771
1193,-58.1033248,-23.345879999999998
