x,y,ID
-58.030128000000005,-23.326947,1
-58.030643000000005,-23.328426999999998,1
-58.030471999999996,-23.327310999999998,1
-58.027983,-23.309952,1
-58.027747,-23.310006,1
-58.022059999999996,-23.297174,1
-58.012147,-23.274697,1
-58.004401,-23.273292,1
-57.997147999999996,-23.276092000000002,1
-57.993843999999996,-23.273517000000002,1
-57.99049599999999,-23.269268,1
-57.991054000000005,-23.282669,1
-57.981784,-23.274719,1
-58.014635999999996,-23.264548,1
-58.046887,-23.264654999999998,1
-58.044312,-23.277648000000003,1
-58.03751,-23.290286,1
-58.037639,-23.290694000000002,1
-58.03753100000001,-23.290651,1
-58.03615799999999,-23.294009,1
-58.025687,-23.290789999999998,1
-58.020644,-23.295693,1
-58.037725,-23.290501000000003,1
-58.047230000000006,-23.264709,1
-58.046156999999994,-23.254806,1
-58.034463,-23.317119,1
-58.032103,-23.317312,1
-58.031802,-23.317022,1
-58.042058999999995,-23.320359,1
-58.108835,-23.340122,1
-58.108920999999995,-23.340142999999998,1
-58.109221,-23.340142999999998,1
-58.11999300000001,-23.318170000000002,1
-58.088708,-23.282626,1
-58.037789000000004,-23.290533,1
-58.00746899999999,-23.296316,1
-58.006804,-23.296004999999997,1
-58.002727,-23.295372,1
-58.008113,-23.296434,1
-58.00633199999999,-23.295586,1
-58.002598,-23.294621,1
-58.002641000000004,-23.295339000000002,1
-58.002813,-23.295285999999997,1
-58.003778000000004,-23.295071,1
-57.999143999999994,-23.290479,1
-57.98021800000001,-23.290951,1
-57.980325,-23.293065,1
-57.976870999999996,-23.294964,1
-57.974553,-23.30388,1
-57.97558299999999,-23.303504,1
-57.97536899999999,-23.303332,1
-57.973652,-23.303472,1
-57.969875,-23.304995,1
-57.967193,-23.300532,1
-57.967020999999995,-23.300339,1
-57.97671999999999,-23.287861,1
-57.965541,-23.280019,1
-57.965713,-23.280115,1
-57.967086,-23.286476999999998,1
-57.961056000000006,-23.287260999999997,1
-57.959447,-23.285372,1
-57.961957,-23.287604,1
-57.960241,-23.288891,1
-57.93668,-23.288172,1
-57.927023999999996,-23.283302,1
-57.920823,-23.282272,1
-57.938354000000004,-23.293633,1
-57.948675,-23.300908,1
-57.954254000000006,-23.306991,1
-57.959576,-23.312988,1
-57.980346999999995,-23.290360999999997,1
-57.979639,-23.29181,1
-57.979853000000006,-23.29314,1
-57.979659999999996,-23.291713,1
-57.979682,-23.29181,1
-57.979724,-23.291852,1
-57.979746,-23.292185,1
-57.989466,-23.283956,1
-58.00489399999999,-23.283495000000002,1
-58.004916,-23.283066,1
-58.005238,-23.283538,1
-58.004787,-23.283495000000002,1
-58.004830000000005,-23.283441,1
-58.004830000000005,-23.283398000000002,1
-58.004615,-23.283334,1
-58.004851,-23.283548,1
-58.004959,-23.283495000000002,1
-58.006225,-23.296723,1
-58.006611,-23.294985,1
-58.024077,-23.294846,1
-58.005109,-23.287239000000003,1
-57.961936,-23.285984,1
-57.961464,-23.28652,1
-57.917283,-23.260621,1
-57.998070999999996,-23.252971,1
-57.997427,-23.254054999999997,1
-57.997599,-23.254344,1
-57.996418000000006,-23.254773999999998,1
-58.001568000000006,-23.254119,1
-58.00204,-23.253551,1
-57.991655,-23.281285,1
-57.997298,-23.284653,1
-57.999079,-23.289846,1
-57.995303,-23.287282,1
-57.990046,-23.286649,1
-57.98976700000001,-23.285694,1
-57.98998100000001,-23.286799,1
-57.989938,-23.286949,1
-57.989959999999996,-23.286777999999998,1
-57.989959999999996,-23.286756,1
-57.989187,-23.286746,1
-57.988801,-23.287078,1
-58.006225,-23.277358,1
-58.00650400000001,-23.278451999999998,1
-58.006418000000004,-23.278388,1
-58.007963000000004,-23.293376000000002,1
-58.00056,-23.283656,1
-58.00056,-23.283613,1
-57.997684,-23.286628,1
-57.999187,-23.290222,1
-57.999251,-23.290104,1
-58.007426,-23.296670000000002,1
-58.014293,-23.293902,1
-58.02146,-23.299823999999997,1
-58.033432999999995,-23.309501,1
-58.033304,-23.309437,1
-58.031158,-23.314973000000002,1
-58.012941000000005,-23.295607999999998,1
-58.012898,-23.295575,1
-58.002191,-23.296444,1
-58.000023,-23.298408,1
-58.00004499999999,-23.298429000000002,1
-58.000066000000004,-23.298279,1
-58.002019,-23.294792,1
-58.000517,-23.293537,1
-57.979875,-23.299448,1
-57.969468000000006,-23.302056,1
-57.984080000000006,-23.308192000000002,1
-57.975733,-23.306732999999998,1
-57.970476,-23.298429000000002,1
-57.970282999999995,-23.298215,1
-57.971163,-23.295887,1
-57.972965,-23.298301000000002,1
-57.972170999999996,-23.297625,1
-57.97294399999999,-23.298343,1
-57.976527000000004,-23.296069,1
-57.97554,-23.297335,1
-57.976098,-23.297271,1
-57.976248,-23.297271,1
-57.973287,-23.298075,1
-57.976935,-23.294213,1
-57.976978,-23.294363,1
-57.984745999999994,-23.289707,1
-57.985690000000005,-23.287260999999997,1
-57.988136,-23.28637,1
-57.988006999999996,-23.286209,1
-58.000903,-23.293097,1
-58.02405600000001,-23.295071,1
-58.023798,-23.29491,1
-58.02399200000001,-23.294964,1
-58.048754,-23.317956,1
-58.057101,-23.317752,1
-58.061929000000006,-23.338459,1
-58.062165,-23.3401,1
-58.046629,-23.335197,1
-58.047316,-23.333652,1
-58.047616000000005,-23.333201000000003,1
-58.047531000000006,-23.333234,1
-58.047594999999994,-23.332632999999998,1
-58.047724,-23.332697,1
-58.047831,-23.333427,1
-58.03193100000001,-23.32788,1
-58.028862,-23.301262,1
-57.992191000000005,-23.2824,1
-57.992063,-23.283269,1
-57.981913,-23.291391,1
-57.974939,-23.305714000000002,1
